"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 18 16:13:07 MSK 2021","Thu Nov 18 16:13:26 MSK 2021","18656","","Запросы на выплату","","Запросы на выплату","Проверка карточки заявки","Проверка карточки заявки",""
"failed","Thu Nov 18 16:26:46 MSK 2021","Thu Nov 18 16:26:57 MSK 2021","11213","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка фильтров","Проверка фильтров",""
"passed","Thu Nov 18 16:12:43 MSK 2021","Thu Nov 18 16:12:55 MSK 2021","12356","","Запросы на выплату","","Запросы на выплату","Проверка табов","Проверка табов",""
"failed","Thu Nov 18 16:06:47 MSK 2021","Thu Nov 18 16:07:22 MSK 2021","34881","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Минимальной суммы ставки","Проверка Минимальной суммы ставки",""
"failed","Thu Nov 18 16:24:06 MSK 2021","Thu Nov 18 16:24:28 MSK 2021","22754","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка смены пароля","Проверка смены пароля",""
"failed","Thu Nov 18 16:20:16 MSK 2021","Thu Nov 18 16:20:38 MSK 2021","22291","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка фильтров бонусов","Проверка фильтров бонусов",""
"passed","Thu Nov 18 16:01:57 MSK 2021","Thu Nov 18 16:02:06 MSK 2021","8463","","Проверка авторизации","","Проверка авторизации","Открытие формы Регистрации из формы авторизации","Открытие формы Регистрации из формы авторизации",""
"failed","Thu Nov 18 16:23:21 MSK 2021","Thu Nov 18 16:23:49 MSK 2021","27207","","Тесты на личный кабинет","","Тесты на личный кабинет","Тестовый сценарий лимитов на депозиты","Тестовый сценарий лимитов на депозиты",""
"passed","Thu Nov 18 16:17:31 MSK 2021","Thu Nov 18 16:17:54 MSK 2021","23545","","Лайв трансляции и eventView","","Лайв трансляции и eventView","Функционал EventView в Лайв событиях","Функционал EventView в Лайв событиях",""
"passed","Thu Nov 18 16:01:25 MSK 2021","Thu Nov 18 16:01:34 MSK 2021","9448","","Проверка авторизации","","Проверка авторизации","Авторизация клиента с неправильный паролем","Авторизация клиента с неправильный паролем",""
"skipped","Thu Nov 18 16:24:47 MSK 2021","Thu Nov 18 16:24:47 MSK 2021","27","","Проверка авторизации","","Проверка авторизации","Добавляю аккаунт в Акцию серия побед, ставлю ставку, продаю","Добавляю аккаунт в Акцию серия побед, ставлю ставку, продаю",""
"passed","Thu Nov 18 16:07:22 MSK 2021","Thu Nov 18 16:07:47 MSK 2021","25161","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Максимальной суммы ставки","Проверка Максимальной суммы ставки",""
"skipped","Thu Nov 18 16:25:38 MSK 2021","Thu Nov 18 16:25:38 MSK 2021","28","","Проверка ""Суперэкспресс""","","Проверка ""Суперэкспресс""","Проверка всего функционала во вкладке ""Суперэкспресс""","Проверка всего функционала во вкладке ""Суперэкспресс""",""
"passed","Thu Nov 18 16:03:22 MSK 2021","Thu Nov 18 16:03:30 MSK 2021","8115","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка свитчеров","Проверка свитчеров",""
"failed","Thu Nov 18 16:22:40 MSK 2021","Thu Nov 18 16:22:59 MSK 2021","18784","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка Самоограничений","Проверка Самоограничений",""
"failed","Thu Nov 18 16:19:16 MSK 2021","Thu Nov 18 16:19:28 MSK 2021","11283","","Тесты на производительность","","Тесты на производительность","Потребление памяти","Потребление памяти",""
"passed","Thu Nov 18 16:07:47 MSK 2021","Thu Nov 18 16:08:07 MSK 2021","19514","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка для неидентифицированного клиента","Проверка для неидентифицированного клиента",""
"skipped","Thu Nov 18 16:25:38 MSK 2021","Thu Nov 18 16:25:38 MSK 2021","33","","Проверка ""Суперэкспресс""","","Проверка ""Суперэкспресс""","Проверка пакетной ставки во вкладке ""Суперэкспресс""","Проверка пакетной ставки во вкладке ""Суперэкспресс""",""
"failed","Thu Nov 18 16:11:58 MSK 2021","Thu Nov 18 16:12:21 MSK 2021","22945","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через МТС","Проверка открытия страницы пополнения через МТС",""
