"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","12","","Тесты на личный кабинет","","Тесты на личный кабинет","Тестовый сценарий лимитов на депозиты","Тестовый сценарий лимитов на депозиты",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","10","","Проверка Восстановления пароля","","Проверка Восстановления пароля","Восстановление пароля по тестовому сценарию через номер телефона","Восстановление пароля по тестовому сценарию через номер телефона",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","14","","Лайв трансляции и eventView","","Лайв трансляции и eventView","Проверка кол-ва трансляций в фильтре трансляций","Проверка кол-ва трансляций в фильтре трансляций",""
"passed","Mon Oct 11 14:44:26 MSK 2021","Mon Oct 11 14:44:36 MSK 2021","10368","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка клонирования и закрытия","Проверка клонирования и закрытия",""
"passed","Mon Oct 11 14:43:50 MSK 2021","Mon Oct 11 14:44:00 MSK 2021","9992","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка настроек в вкладке История","Проверка настроек в вкладке История",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","12","","Проверка настроек сайта","","Проверка настроек сайта","Проверка настроек Продажа пари","Проверка настроек Продажа пари",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","11","","Проверка настроек сайта","","Проверка настроек сайта","Проверка всего функционала из модуля ""Вид"" в настройках сайта","Проверка всего функционала из модуля ""Вид"" в настройках сайта",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","27","","Тесты на производительность","","Тесты на производительность","Нагрузка процессора 3","Нагрузка процессора 3",""
"skipped","Mon Oct 11 14:51:23 MSK 2021","Mon Oct 11 14:51:23 MSK 2021","10","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на телефон","Выплата на телефон",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","15","","Проверка настроек сайта","","Проверка настроек сайта","Проверка приема без подтверждения","Проверка приема без подтверждения",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","12","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка смены пароля","Проверка смены пароля",""
