"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка сворачивания ставки из ленты купонов","Проверка сворачивания ставки из ленты купонов",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Тесты на производительность","","Тесты на производительность","Нагрузка процессора 3","Нагрузка процессора 3",""
"passed","Tue Oct 05 15:12:48 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","8193","","Проверка авторизации","","Проверка авторизации","Клиент с  опцией ""Авторизация запрещена","Клиент с  опцией ""Авторизация запрещена",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","2","","Проверка ""Суперэкспресс""","","Проверка ""Суперэкспресс""","Проверка всего функционала во вкладке ""Суперэкспресс""","Проверка всего функционала во вкладке ""Суперэкспресс""",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка запроса по input + textarea + data","Проверка запроса по input + textarea + data",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка суммы на граничные значения","Проверка суммы на граничные значения",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Проверка работы всего функицонала во вкладке ""Результат""","","Проверка работы всего функицонала во вкладке ""Результат""","Проверка сортировки по времени","Проверка сортировки по времени",""
"skipped","Tue Oct 05 15:12:57 MSK 2021","Tue Oct 05 15:12:57 MSK 2021","1","","Проверка настроек сайта","","Проверка настроек сайта","Проверка быстрого пари","Проверка быстрого пари",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","3","","Тесты на функциии из области шапки сайта","","Тесты на функциии из области шапки сайта","Проверка функции Поиск","Проверка функции Поиск",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка смены пароля","Проверка смены пароля",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","2","","Тесты на производительность","","Тесты на производительность","Нагрузка процессора","Нагрузка процессора",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка работы процесса изменения номера телефона по тестовому сценарию","Проверка работы процесса изменения номера телефона по тестовому сценарию",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Тесты на главной странице","","Тесты на главной странице","Ставки из приоритетных событий линии/лайва с главной страницы","Ставки из приоритетных событий линии/лайва с главной страницы",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Запросы на выплату","","Запросы на выплату","Проверка фильтра","Проверка фильтра",""
"skipped","Tue Oct 05 15:12:57 MSK 2021","Tue Oct 05 15:12:57 MSK 2021","1","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка переоткрытия заявки","Проверка переоткрытия заявки",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","2","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка  включения расссылок и уведомлений","Проверка  включения расссылок и уведомлений",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","0","","Проверка авторизации","","Проверка авторизации","Открытие формы Забыли пароль из формы авторизации","Открытие формы Забыли пароль из формы авторизации",""
"skipped","Tue Oct 05 15:12:57 MSK 2021","Tue Oct 05 15:12:57 MSK 2021","2","","Проверка настроек сайта","","Проверка настроек сайта","Проверка работы ставки пари с предыдущей ставки","Проверка работы ставки пари с предыдущей ставки",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка сортировки по времени","Проверка сортировки по времени",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","3","","Проверка ""Суперэкспресс""","","Проверка ""Суперэкспресс""","Проверка пакетной ставки во вкладке ""Суперэкспресс""","Проверка пакетной ставки во вкладке ""Суперэкспресс""",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Лайв трансляции и eventView","","Лайв трансляции и eventView","Проверка отображения всех видов трансляций лайф событий ","Проверка отображения всех видов трансляций лайф событий ",""
"skipped","Tue Oct 05 15:12:56 MSK 2021","Tue Oct 05 15:12:56 MSK 2021","1","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Популярные события","Популярные события",""
