"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка ленты без авторизации","","Проверка ленты без авторизации","Проверка сохранения купона, набранного до авторизации","Проверка сохранения купона, набранного до авторизации",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка запроса по textarea + file","Проверка запроса по textarea + file",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Проверка разворачивания/сворачивания всех дочерних событий и доп. пари","Проверка разворачивания/сворачивания всех дочерних событий и доп. пари",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Тесты на функциии из области шапки сайта","","Тесты на функциии из области шапки сайта","Проверка открытия всех вкладок","Проверка открытия всех вкладок",""
"passed","Tue Oct 05 15:08:33 MSK 2021","Tue Oct 05 15:08:46 MSK 2021","13206","","Проверка авторизации","","Проверка авторизации","Проверка протушей  сессии","Проверка протушей  сессии",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Запросы на выплату","","Запросы на выплату","Проверка фильтра","Проверка фильтра",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка работы вкладки История в Личном кабинете пользователя","Проверка работы вкладки История в Личном кабинете пользователя",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Тесты на производительность","","Тесты на производительность","Потребление памяти","Потребление памяти",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Тесты на функциии из области шапки сайта","","Тесты на функциии из области шапки сайта","Проверка функции Поиск","Проверка функции Поиск",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка работы всего функицонала во вкладке ""Результат""","","Проверка работы всего функицонала во вкладке ""Результат""","Проверка сортировки по времени","Проверка сортировки по времени",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка клонирования и закрытия","Проверка клонирования и закрытия",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Фрибета и БП","Проверка Фрибета и БП",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Фрибета/Бп с нулевым балансом клиента","Проверка Фрибета/Бп с нулевым балансом клиента",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","3","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка фильтров","Проверка фильтров",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на Яндекс деньги","Выплата на Яндекс деньги",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка настроек в вкладке История","Проверка настроек в вкладке История",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Запросы на выплату","","Запросы на выплату","Проверка карточки заявки","Проверка карточки заявки",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка скрытия баланса","Проверка скрытия баланса",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка платежного фрейма Яндекс","Проверка платежного фрейма Яндекс",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка настроек сайта","","Проверка настроек сайта","Проверка любимой ставки","Проверка любимой ставки",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Тесты на главной странице","","Тесты на главной странице","Ставки из Ставки дня","Ставки из Ставки дня",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка избранного в выплатах","Проверка избранного в выплатах",""
"passed","Tue Oct 05 15:09:19 MSK 2021","Tue Oct 05 15:09:31 MSK 2021","12284","","Проверка авторизации","","Проверка авторизации","Тест на слишком частый ввод пароля неправильный","Тест на слишком частый ввод пароля неправильный",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Лайв трансляции и eventView","","Лайв трансляции и eventView","Функционал EventView в Лайв событиях","Функционал EventView в Лайв событиях",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","0","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка любимой ставки и подстановки старой","Проверка любимой ставки и подстановки старой",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","0","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка пополнения по телефону","Проверка пополнения по телефону",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка запроса по 3*input + textarea + data","Проверка запроса по 3*input + textarea + data",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","0","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка смены языка","Проверка смены языка",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Проверка работы всего функицонала во вкладке ""Результат""","","Проверка работы всего функицонала во вкладке ""Результат""","Проверка сортировки по номеру","Проверка сортировки по номеру",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка суммы на граничные значения","Проверка суммы на граничные значения",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","2","","Проверка настроек сайта","","Проверка настроек сайта","Проверка работы ставки пари с предыдущей ставки","Проверка работы ставки пари с предыдущей ставки",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","1","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Минимальной суммы ставки","Проверка Минимальной суммы ставки",""
"skipped","Tue Oct 05 15:09:39 MSK 2021","Tue Oct 05 15:09:39 MSK 2021","0","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка подстановки суммы предыдущей ставки","Проверка подстановки суммы предыдущей ставки",""
