"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 18 18:01:36 MSK 2021","Thu Nov 18 18:01:36 MSK 2021","33","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка фильтров","Проверка фильтров",""
"passed","Thu Nov 18 17:50:30 MSK 2021","Thu Nov 18 17:50:45 MSK 2021","14711","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения карты банка","Проверка открытия страницы пополнения карты банка",""
"failed","Thu Nov 18 18:00:44 MSK 2021","Thu Nov 18 18:00:56 MSK 2021","12224","","Проверка работы всего функицонала во вкладке ""Результат""","","Проверка работы всего функицонала во вкладке ""Результат""","Проверка сортировки по времени","Проверка сортировки по времени",""
"skipped","Thu Nov 18 17:52:51 MSK 2021","Thu Nov 18 17:52:51 MSK 2021","35","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на телефон","Выплата на телефон",""
"skipped","Thu Nov 18 18:01:36 MSK 2021","Thu Nov 18 18:01:36 MSK 2021","23","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка переоткрытия заявки","Проверка переоткрытия заявки",""
"skipped","Thu Nov 18 17:58:46 MSK 2021","Thu Nov 18 17:58:46 MSK 2021","27","","Тесты на производительность","","Тесты на производительность","Нагрузка процессора 3","Нагрузка процессора 3",""
"passed","Thu Nov 18 17:53:43 MSK 2021","Thu Nov 18 17:53:57 MSK 2021","14071","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Проверка фильтра в горизонтальном положении на выбор события","Проверка фильтра в горизонтальном положении на выбор события",""
"skipped","Thu Nov 18 17:58:46 MSK 2021","Thu Nov 18 17:58:46 MSK 2021","29","","Тесты на производительность","","Тесты на производительность","Нагрузка процессора 2","Нагрузка процессора 2",""
"passed","Thu Nov 18 17:49:09 MSK 2021","Thu Nov 18 17:49:31 MSK 2021","21920","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка избранного в депозитах","Проверка избранного в депозитах",""
"skipped","Thu Nov 18 18:00:43 MSK 2021","Thu Nov 18 18:00:44 MSK 2021","41","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка Самоограничений","Проверка Самоограничений",""
"passed","Thu Nov 18 17:51:44 MSK 2021","Thu Nov 18 17:51:58 MSK 2021","13991","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через Webmoney","Проверка открытия страницы пополнения через Webmoney",""
"skipped","Thu Nov 18 18:00:44 MSK 2021","Thu Nov 18 18:00:44 MSK 2021","51","","Тесты на личный кабинет","","Тесты на личный кабинет","Тестовый сценарий лимитов на депозиты","Тестовый сценарий лимитов на депозиты",""
"failed","Thu Nov 18 17:59:37 MSK 2021","Thu Nov 18 17:59:59 MSK 2021","22073","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка фильтров бонусов","Проверка фильтров бонусов",""
"passed","Thu Nov 18 17:52:37 MSK 2021","Thu Nov 18 17:52:51 MSK 2021","13472","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через TELE2","Проверка открытия страницы пополнения через TELE2",""
"skipped","Thu Nov 18 18:00:44 MSK 2021","Thu Nov 18 18:00:44 MSK 2021","31","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка работы процесса изменения номера телефона по тестовому сценарию","Проверка работы процесса изменения номера телефона по тестовому сценарию",""
"skipped","Thu Nov 18 18:01:36 MSK 2021","Thu Nov 18 18:01:36 MSK 2021","22","","Проверка настроек сайта","","Проверка настроек сайта","Проверка всего функционала из модуля ""Вид"" в настройках сайта","Проверка всего функционала из модуля ""Вид"" в настройках сайта",""
"skipped","Thu Nov 18 18:01:36 MSK 2021","Thu Nov 18 18:01:36 MSK 2021","23","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка запроса по  textarea + data","Проверка запроса по  textarea + data",""
"skipped","Thu Nov 18 18:01:36 MSK 2021","Thu Nov 18 18:01:36 MSK 2021","19","","Проверка настроек сайта","","Проверка настроек сайта","Проверка любимой ставки","Проверка любимой ставки",""
"skipped","Thu Nov 18 18:00:44 MSK 2021","Thu Nov 18 18:00:44 MSK 2021","39","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка  включения расссылок и уведомлений","Проверка  включения расссылок и уведомлений",""
"failed","Thu Nov 18 17:54:31 MSK 2021","Thu Nov 18 17:54:46 MSK 2021","14634","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Сравнение фильтра времени у конкретного спорта в горизонтальном и вертикальном ","Сравнение фильтра времени у конкретного спорта в горизонтальном и вертикальном ",""
"skipped","Thu Nov 18 17:52:51 MSK 2021","Thu Nov 18 17:52:51 MSK 2021","17","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на карту","Выплата на карту",""
"passed","Thu Nov 18 17:45:21 MSK 2021","Thu Nov 18 17:45:51 MSK 2021","30215","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка подстановки суммы предыдущей ставки","Проверка подстановки суммы предыдущей ставки",""
"passed","Thu Nov 18 17:46:46 MSK 2021","Thu Nov 18 17:47:11 MSK 2021","24451","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Популярные события","Популярные события",""
"passed","Thu Nov 18 17:41:35 MSK 2021","Thu Nov 18 17:41:44 MSK 2021","9274","","Проверка авторизации","","Проверка авторизации","Авторизация клиента по clinetId","Авторизация клиента по clinetId",""
"passed","Thu Nov 18 17:44:00 MSK 2021","Thu Nov 18 17:44:12 MSK 2021","11664","","Проверка ленты без авторизации","","Проверка ленты без авторизации","Проверка истории ставок у нового пользователя","Проверка истории ставок у нового пользователя",""
"skipped","Thu Nov 18 17:52:51 MSK 2021","Thu Nov 18 17:52:51 MSK 2021","55","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на Яндекс деньги","Выплата на Яндекс деньги",""
"failed","Thu Nov 18 17:59:59 MSK 2021","Thu Nov 18 18:00:20 MSK 2021","21285","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка баннеров акций","Проверка баннеров акций",""
"passed","Thu Nov 18 17:53:57 MSK 2021","Thu Nov 18 17:54:04 MSK 2021","7774","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Горизонтальное положение, проверка свитчера и компактный режим ","Горизонтальное положение, проверка свитчера и компактный режим ",""
"passed","Thu Nov 18 17:55:49 MSK 2021","Thu Nov 18 17:56:21 MSK 2021","31675","","Тесты на функциии из области шапки сайта","","Тесты на функциии из области шапки сайта","Проверка функции Поиск","Проверка функции Поиск",""
"skipped","Thu Nov 18 18:00:44 MSK 2021","Thu Nov 18 18:00:44 MSK 2021","20","","Проверка авторизации","","Проверка авторизации","Добавляю аккаунт в Акцию серия побед, ставлю ставку, продаю","Добавляю аккаунт в Акцию серия побед, ставлю ставку, продаю",""
"passed","Thu Nov 18 17:44:39 MSK 2021","Thu Nov 18 17:44:47 MSK 2021","7638","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка любимой ставки и подстановки старой","Проверка любимой ставки и подстановки старой",""
"failed","Thu Nov 18 17:48:19 MSK 2021","Thu Nov 18 17:48:48 MSK 2021","29450","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Максимальной суммы ставки","Проверка Максимальной суммы ставки",""
"skipped","Thu Nov 18 18:01:36 MSK 2021","Thu Nov 18 18:01:36 MSK 2021","19","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Прикрепление и скачивание файла в созданном запросах","Прикрепление и скачивание файла в созданном запросах",""
"skipped","Thu Nov 18 18:00:43 MSK 2021","Thu Nov 18 18:00:43 MSK 2021","31","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка работы вкладки Операции в Личном кабинете пользователя","Проверка работы вкладки Операции в Личном кабинете пользователя",""
"passed","Thu Nov 18 17:55:13 MSK 2021","Thu Nov 18 17:55:28 MSK 2021","15281","","Провекра гридов с соревнованиями в линии/лайве","","Провекра гридов с соревнованиями в линии/лайве","Проверка соответсвтия ставки в гриде и ставки в купоне","Проверка соответсвтия ставки в гриде и ставки в купоне",""
"passed","Thu Nov 18 17:54:14 MSK 2021","Thu Nov 18 17:54:22 MSK 2021","7815","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Проверка разворачивания/сворачивания всех дочерних событий и доп. пари","Проверка разворачивания/сворачивания всех дочерних событий и доп. пари",""
"passed","Thu Nov 18 17:44:29 MSK 2021","Thu Nov 18 17:44:39 MSK 2021","9808","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка на продажу","Проверка на продажу",""
"passed","Thu Nov 18 17:47:53 MSK 2021","Thu Nov 18 17:48:19 MSK 2021","25813","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Минимальной суммы ставки","Проверка Минимальной суммы ставки",""
"passed","Thu Nov 18 17:54:22 MSK 2021","Thu Nov 18 17:54:31 MSK 2021","8860","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Проверка фильтра времени в меню событий","Проверка фильтра времени в меню событий",""
"failed","Thu Nov 18 17:49:52 MSK 2021","Thu Nov 18 17:50:12 MSK 2021","20427","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка смены языка","Проверка смены языка",""
"passed","Thu Nov 18 17:48:48 MSK 2021","Thu Nov 18 17:49:09 MSK 2021","20885","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка для неидентифицированного клиента","Проверка для неидентифицированного клиента",""
"failed","Thu Nov 18 17:50:12 MSK 2021","Thu Nov 18 17:50:30 MSK 2021","17858","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка суммы на граничные значения","Проверка суммы на граничные значения",""
"passed","Thu Nov 18 17:42:37 MSK 2021","Thu Nov 18 17:42:49 MSK 2021","11721","","Проверка авторизации","","Проверка авторизации","Тест на слишком частый ввод пароля неправильный","Тест на слишком частый ввод пароля неправильный",""
"skipped","Thu Nov 18 18:01:36 MSK 2021","Thu Nov 18 18:01:36 MSK 2021","16","","Проверка настроек сайта","","Проверка настроек сайта","Проверка работы ставки пари с предыдущей ставки","Проверка работы ставки пари с предыдущей ставки",""
"passed","Thu Nov 18 17:44:22 MSK 2021","Thu Nov 18 17:44:29 MSK 2021","7598","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка свитчеров","Проверка свитчеров",""
"passed","Thu Nov 18 17:53:08 MSK 2021","Thu Nov 18 17:53:19 MSK 2021","11136","","Запросы на выплату","","Запросы на выплату","Проверка фильтра","Проверка фильтра",""
"failed","Thu Nov 18 18:00:20 MSK 2021","Thu Nov 18 18:00:43 MSK 2021","22744","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка сортировки по времени","Проверка сортировки по времени",""
"passed","Thu Nov 18 17:42:18 MSK 2021","Thu Nov 18 17:42:28 MSK 2021","9385","","Проверка авторизации","","Проверка авторизации","Авторизация клиента с самоисключением навсегда","Авторизация клиента с самоисключением навсегда",""
"passed","Thu Nov 18 17:41:27 MSK 2021","Thu Nov 18 17:41:35 MSK 2021","8165","","Проверка авторизации","","Проверка авторизации","Проверка работы плейсхолдера всех трех типов авторизации(номер счета, номер телефона, почта)","Проверка работы плейсхолдера всех трех типов авторизации(номер счета, номер телефона, почта)",""
"passed","Thu Nov 18 17:56:21 MSK 2021","Thu Nov 18 17:57:13 MSK 2021","51747","","Тесты на главной странице","","Тесты на главной странице","Ставки из приоритетных событий линии/лайва с главной страницы","Ставки из приоритетных событий линии/лайва с главной страницы",""
"passed","Thu Nov 18 17:54:46 MSK 2021","Thu Nov 18 17:55:01 MSK 2021","15080","","Провекра гридов с соревнованиями в линии/лайве","","Провекра гридов с соревнованиями в линии/лайве","Проверка шапки чемпионата","Проверка шапки чемпионата",""
