"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jan 20 18:30:15 MSK 2022","Thu Jan 20 18:30:15 MSK 2022","14","","Проверка настроек сайта","","Проверка настроек сайта","Проверка настроек Диалоги","Проверка настроек Диалоги",""
"passed","Thu Jan 20 18:13:46 MSK 2022","Thu Jan 20 18:13:57 MSK 2022","11609","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка быстрой ставки","Проверка быстрой ставки",""
"passed","Thu Jan 20 18:14:16 MSK 2022","Thu Jan 20 18:14:24 MSK 2022","8267","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка любимой ставки и подстановки старой","Проверка любимой ставки и подстановки старой",""
"passed","Thu Jan 20 18:11:41 MSK 2022","Thu Jan 20 18:11:51 MSK 2022","10115","","Проверка авторизации","","Проверка авторизации","Авторизация клиента по phoneNumber","Авторизация клиента по phoneNumber",""
"skipped","Thu Jan 20 18:28:04 MSK 2022","Thu Jan 20 18:28:04 MSK 2022","14","","Тесты на производительность","","Тесты на производительность","Потребление памяти","Потребление памяти",""
"passed","Thu Jan 20 18:15:13 MSK 2022","Thu Jan 20 18:15:24 MSK 2022","11292","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка подстановки суммы предыдущей ставки","Проверка подстановки суммы предыдущей ставки",""
"passed","Thu Jan 20 18:14:39 MSK 2022","Thu Jan 20 18:14:51 MSK 2022","12213","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка настроек в вкладке История","Проверка настроек в вкладке История",""
"skipped","Thu Jan 20 18:29:18 MSK 2022","Thu Jan 20 18:29:19 MSK 2022","26","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка Самоограничений","Проверка Самоограничений",""
"passed","Thu Jan 20 18:12:31 MSK 2022","Thu Jan 20 18:12:40 MSK 2022","9287","","Проверка авторизации","","Проверка авторизации","Клиент с  опцией ""Авторизация запрещена","Клиент с  опцией ""Авторизация запрещена",""
"passed","Thu Jan 20 18:11:08 MSK 2022","Thu Jan 20 18:11:17 MSK 2022","8630","","Проверка авторизации","","Проверка авторизации","Проверка работы плейсхолдера всех трех типов авторизации(номер счета, номер телефона, почта)","Проверка работы плейсхолдера всех трех типов авторизации(номер счета, номер телефона, почта)",""
"skipped","Thu Jan 20 18:29:18 MSK 2022","Thu Jan 20 18:29:18 MSK 2022","12","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка открытия всех вкладок меню","Проверка открытия всех вкладок меню",""
"skipped","Thu Jan 20 18:28:04 MSK 2022","Thu Jan 20 18:28:04 MSK 2022","20","","Тесты на производительность","","Тесты на производительность","Нагрузка процессора","Нагрузка процессора",""
"skipped","Thu Jan 20 18:22:20 MSK 2022","Thu Jan 20 18:22:20 MSK 2022","9","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на карту","Выплата на карту",""
"failed","Thu Jan 20 18:15:44 MSK 2022","Thu Jan 20 18:16:02 MSK 2022","18032","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка Системы и калькулятора","Проверка Системы и калькулятора",""
"passed","Thu Jan 20 18:12:10 MSK 2022","Thu Jan 20 18:12:19 MSK 2022","9389","","Проверка авторизации","","Проверка авторизации","Авторизация клиента с неправильный паролем","Авторизация клиента с неправильный паролем",""
"failed","Thu Jan 20 18:24:59 MSK 2022","Thu Jan 20 18:25:20 MSK 2022","20643","","Тесты на функциии из области шапки сайта","","Тесты на функциии из области шапки сайта","Проверка открытия всех вкладок","Проверка открытия всех вкладок",""
"skipped","Thu Jan 20 18:29:18 MSK 2022","Thu Jan 20 18:29:18 MSK 2022","14","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка скрытия баланса","Проверка скрытия баланса",""
"passed","Thu Jan 20 18:21:17 MSK 2022","Thu Jan 20 18:21:31 MSK 2022","14411","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через Мегафон","Проверка открытия страницы пополнения через Мегафон",""
"passed","Thu Jan 20 18:23:26 MSK 2022","Thu Jan 20 18:23:36 MSK 2022","10537","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Тест фильтра в вертикальном положении","Тест фильтра в вертикальном положении",""
"passed","Thu Jan 20 18:16:47 MSK 2022","Thu Jan 20 18:17:13 MSK 2022","26364","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Фрибета/Бп с нулевым балансом клиента","Проверка Фрибета/Бп с нулевым балансом клиента",""
"passed","Thu Jan 20 18:12:40 MSK 2022","Thu Jan 20 18:12:48 MSK 2022","8495","","Проверка авторизации","","Проверка авторизации","Открытие формы Регистрации из формы авторизации","Открытие формы Регистрации из формы авторизации",""
"passed","Thu Jan 20 18:13:34 MSK 2022","Thu Jan 20 18:13:46 MSK 2022","11607","","Проверка ленты без авторизации","","Проверка ленты без авторизации","Проверка истории ставок у нового пользователя","Проверка истории ставок у нового пользователя",""
"skipped","Thu Jan 20 18:29:19 MSK 2022","Thu Jan 20 18:29:19 MSK 2022","38","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка  включения расссылок и уведомлений","Проверка  включения расссылок и уведомлений",""
"passed","Thu Jan 20 18:29:34 MSK 2022","Thu Jan 20 18:29:52 MSK 2022","17388","","Проверка работы всего функицонала во вкладке ""Результат""","","Проверка работы всего функицонала во вкладке ""Результат""","Проверка сортировки по номеру","Проверка сортировки по номеру",""
"skipped","Thu Jan 20 18:30:15 MSK 2022","Thu Jan 20 18:30:15 MSK 2022","17","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка запроса по  textarea + data","Проверка запроса по  textarea + data",""
"failed","Thu Jan 20 18:20:03 MSK 2022","Thu Jan 20 18:20:27 MSK 2022","24356","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы  пополнения кошелек ЦУПИС","Проверка открытия страницы  пополнения кошелек ЦУПИС",""
"passed","Thu Jan 20 18:18:14 MSK 2022","Thu Jan 20 18:18:33 MSK 2022","19108","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка для неидентифицированного клиента","Проверка для неидентифицированного клиента",""
"passed","Thu Jan 20 18:17:49 MSK 2022","Thu Jan 20 18:18:14 MSK 2022","24418","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Максимальной суммы ставки","Проверка Максимальной суммы ставки",""
"skipped","Thu Jan 20 18:30:15 MSK 2022","Thu Jan 20 18:30:15 MSK 2022","13","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Прикрепление и скачивание файла в созданном запросах","Прикрепление и скачивание файла в созданном запросах",""
"passed","Thu Jan 20 18:14:06 MSK 2022","Thu Jan 20 18:14:16 MSK 2022","10083","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка на продажу","Проверка на продажу",""
"passed","Thu Jan 20 18:23:46 MSK 2022","Thu Jan 20 18:23:57 MSK 2022","11252","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Проверка фильтра времени в меню событий","Проверка фильтра времени в меню событий",""
"skipped","Thu Jan 20 18:28:04 MSK 2022","Thu Jan 20 18:28:04 MSK 2022","18","","Проверка Восстановления пароля","","Проверка Восстановления пароля","Восстановление пароля по тестовому сценарию через номер телефона","Восстановление пароля по тестовому сценарию через номер телефона",""
"skipped","Thu Jan 20 18:30:15 MSK 2022","Thu Jan 20 18:30:15 MSK 2022","13","","Проверка настроек сайта","","Проверка настроек сайта","Проверка любимой ставки","Проверка любимой ставки",""
"passed","Thu Jan 20 18:24:11 MSK 2022","Thu Jan 20 18:24:23 MSK 2022","12063","","Провекра гридов с соревнованиями в линии/лайве","","Провекра гридов с соревнованиями в линии/лайве","Проверка шапки чемпионата","Проверка шапки чемпионата",""
"passed","Thu Jan 20 18:22:20 MSK 2022","Thu Jan 20 18:22:33 MSK 2022","13030","","Запросы на выплату","","Запросы на выплату","Проверка табов","Проверка табов",""
"skipped","Thu Jan 20 18:29:19 MSK 2022","Thu Jan 20 18:29:19 MSK 2022","19","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка Самоисключений","Проверка Самоисключений",""
"skipped","Thu Jan 20 18:29:19 MSK 2022","Thu Jan 20 18:29:19 MSK 2022","22","","Проверка авторизации","","Проверка авторизации","Добавляю аккаунт в Акцию серия побед, ставлю ставку, продаю","Добавляю аккаунт в Акцию серия побед, ставлю ставку, продаю",""
"passed","Thu Jan 20 18:28:18 MSK 2022","Thu Jan 20 18:28:31 MSK 2022","13242","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка суммы бонусов","Проверка суммы бонусов",""
"passed","Thu Jan 20 18:25:20 MSK 2022","Thu Jan 20 18:25:50 MSK 2022","30132","","Тесты на функциии из области шапки сайта","","Тесты на функциии из области шапки сайта","Проверка функции Поиск","Проверка функции Поиск",""
"passed","Thu Jan 20 18:23:18 MSK 2022","Thu Jan 20 18:23:26 MSK 2022","7754","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Горизонтальное положение, проверка свитчера и компактный режим ","Горизонтальное положение, проверка свитчера и компактный режим ",""
"passed","Thu Jan 20 18:24:40 MSK 2022","Thu Jan 20 18:24:59 MSK 2022","18915","","Провекра гридов с соревнованиями в линии/лайве","","Провекра гридов с соревнованиями в линии/лайве","Проверка соответсвтия ставки в гриде и ставки в купоне","Проверка соответсвтия ставки в гриде и ставки в купоне",""
"passed","Thu Jan 20 18:12:57 MSK 2022","Thu Jan 20 18:13:20 MSK 2022","23401","","Проверка ленты без авторизации","","Проверка ленты без авторизации","Проверка сохранения купона, набранного до авторизации","Проверка сохранения купона, набранного до авторизации",""
"failed","Thu Jan 20 18:20:59 MSK 2022","Thu Jan 20 18:21:17 MSK 2022","18032","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через Webmoney","Проверка открытия страницы пополнения через Webmoney",""
"skipped","Thu Jan 20 18:29:18 MSK 2022","Thu Jan 20 18:29:18 MSK 2022","16","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка работы вкладки Операции в Личном кабинете пользователя","Проверка работы вкладки Операции в Личном кабинете пользователя",""
