"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","1","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Фрибета и БП","Проверка Фрибета и БП",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","1","","Проверка ленты без авторизации","","Проверка ленты без авторизации","Проверка истории ставок у нового пользователя","Проверка истории ставок у нового пользователя",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","2","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка запроса по dropdown + input + textarea + file","Проверка запроса по dropdown + input + textarea + file",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","1","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Максимальной суммы ставки","Проверка Максимальной суммы ставки",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","1","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Горизонтальное положение, проверка свитчера и компактный режим ","Горизонтальное положение, проверка свитчера и компактный режим ",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","1","","Проверка Восстановления пароля","","Проверка Восстановления пароля","Восстановление пароля по тестовому сценарию через email","Восстановление пароля по тестовому сценарию через email",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","1","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка фильтров бонусов","Проверка фильтров бонусов",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","1","","Проверка ленты без авторизации","","Проверка ленты без авторизации","Проверка появления окна авторизации на пари без авторизации","Проверка появления окна авторизации на пари без авторизации",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","2","","Проверка ""Суперэкспресс""","","Проверка ""Суперэкспресс""","Проверка всего функционала во вкладке ""Суперэкспресс""","Проверка всего функционала во вкладке ""Суперэкспресс""",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","1","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка для неидентифицированного клиента","Проверка для неидентифицированного клиента",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","0","","Проверка авторизации","","Проверка авторизации","Клиент с  опцией ""Авторизация запрещена","Клиент с  опцией ""Авторизация запрещена",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","1","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка суммы на граничные значения","Проверка суммы на граничные значения",""
"skipped","Thu Oct 28 16:10:32 MSK 2021","Thu Oct 28 16:10:32 MSK 2021","0","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка свитчеров","Проверка свитчеров",""
