"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Проверка настроек сайта","","Проверка настроек сайта","Проверка настроек Продажа пари","Проверка настроек Продажа пари",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Проверка настроек сайта","","Проверка настроек сайта","Проверка всего функционала из модуля ""Вид"" в настройках сайта","Проверка всего функционала из модуля ""Вид"" в настройках сайта",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Запросы на выплату","","Запросы на выплату","Проверка фильтра","Проверка фильтра",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Популярные события","Популярные события",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка смены почты через реальную почту","Проверка смены почты через реальную почту",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Проверка разворачивания/сворачивания всех дочерних событий и доп. пари","Проверка разворачивания/сворачивания всех дочерних событий и доп. пари",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Проверка настроек сайта","","Проверка настроек сайта","Проверка работы ставки пари с предыдущей ставки","Проверка работы ставки пари с предыдущей ставки",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Провекра гридов с соревнованиями в линии/лайве","","Провекра гридов с соревнованиями в линии/лайве","Проверка разворачивания доп пари и доч событий","Проверка разворачивания доп пари и доч событий",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка смены языка","Проверка смены языка",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Проверка авторизации","","Проверка авторизации","Авторизация клиента по phoneNumber","Авторизация клиента по phoneNumber",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка сворачивания ставки из ленты купонов","Проверка сворачивания ставки из ленты купонов",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка запроса по input + textarea + data","Проверка запроса по input + textarea + data",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Тесты на главной странице","","Тесты на главной странице","Проверка приветственного слайдера","Проверка приветственного слайдера",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка открытия всех вкладок меню","Проверка открытия всех вкладок меню",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Провекра гридов с соревнованиями в линии/лайве","","Провекра гридов с соревнованиями в линии/лайве","Проверка шапки чемпионата","Проверка шапки чемпионата",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Проверка авторизации","","Проверка авторизации","Проверка протушей  сессии","Проверка протушей  сессии",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","3","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Фрибета/Бп с нулевым балансом клиента","Проверка Фрибета/Бп с нулевым балансом клиента",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка ввода промокода Бонусы","Проверка ввода промокода Бонусы",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на карту","Выплата на карту",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","0","","Проверка авторизации","","Проверка авторизации","Тест на слишком частый ввод пароля неправильный","Тест на слишком частый ввод пароля неправильный",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка Самоограничений","Проверка Самоограничений",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на Яндекс деньги","Выплата на Яндекс деньги",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","0","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка на продажу","Проверка на продажу",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","3","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Максимальной суммы ставки","Проверка Максимальной суммы ставки",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка настроек в вкладке История","Проверка настроек в вкладке История",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через Qiwi","Проверка открытия страницы пополнения через Qiwi",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Проверка настроек сайта","","Проверка настроек сайта","Проверка всего функционала из модуля ""Вид"" в настройках сайта для  неавторизованного пользователя","Проверка всего функционала из модуля ""Вид"" в настройках сайта для  неавторизованного пользователя",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","3","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка избранного в выплатах","Проверка избранного в выплатах",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Тест фильтра в вертикальном положении","Тест фильтра в вертикальном положении",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка избранного в депозитах","Проверка избранного в депозитах",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Запросы на выплату","","Запросы на выплату","Проверка табов","Проверка табов",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Проверка авторизации","","Проверка авторизации","Авторизация клиента по clinetId","Авторизация клиента по clinetId",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","2","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка смены пароля","Проверка смены пароля",""
"skipped","Thu Nov 18 16:33:05 MSK 2021","Thu Nov 18 16:33:05 MSK 2021","1","","Проверка авторизации","","Проверка авторизации","Авторизация клиента по email","Авторизация клиента по email",""
